Input_0,Input_1,Input_2,Input_3,Input_4,Output_0,Output_1,Output_2,Output_3,Output_4
24,1,1,3,11,45,46,42,358,92
1,1,3,11,45,46,42,358,92,171
1,3,11,45,46,42,358,92,171,101
3,11,45,46,42,358,92,171,101,187
11,45,46,42,358,92,171,101,187,209
45,46,42,358,92,171,101,187,209,430
46,42,358,92,171,101,187,209,430,730
42,358,92,171,101,187,209,430,730,1293
358,92,171,101,187,209,430,730,1293,2068
92,171,101,187,209,430,730,1293,2068,2203
171,101,187,209,430,730,1293,2068,2203,3139
101,187,209,430,730,1293,2068,2203,3139,3152
187,209,430,730,1293,2068,2203,3139,3152,2534
209,430,730,1293,2068,2203,3139,3152,2534,1782
430,730,1293,2068,2203,3139,3152,2534,1782,1964
730,1293,2068,2203,3139,3152,2534,1782,1964,2058
1293,2068,2203,3139,3152,2534,1782,1964,2058,4563
2068,2203,3139,3152,2534,1782,1964,2058,4563,3835
2203,3139,3152,2534,1782,1964,2058,4563,3835,3409
3139,3152,2534,1782,1964,2058,4563,3835,3409,3286
3152,2534,1782,1964,2058,4563,3835,3409,3286,3457
2534,1782,1964,2058,4563,3835,3409,3286,3457,2868
1782,1964,2058,4563,3835,3409,3286,3457,2868,2977
1964,2058,4563,3835,3409,3286,3457,2868,2977,2904
2058,4563,3835,3409,3286,3457,2868,2977,2904,2451
4563,3835,3409,3286,3457,2868,2977,2904,2451,2229
3835,3409,3286,3457,2868,2977,2904,2451,2229,2210
3409,3286,3457,2868,2977,2904,2451,2229,2210,2280
3286,3457,2868,2977,2904,2451,2229,2210,2280,1912
3457,2868,2977,2904,2451,2229,2210,2280,1912,261
