Input_0,Input_1,Input_2,Input_3,Input_4,Output_0
1,1,2,5,21,34
1,2,5,21,34,69
2,5,21,34,69,54
5,21,34,69,54,79
21,34,69,54,79,312
34,69,54,79,312,255
69,54,79,312,255,277
54,79,312,255,277,370
79,312,255,277,370,581
312,255,277,370,581,566
255,277,370,581,566,492
277,370,581,566,492,519
370,581,566,492,519,512
581,566,492,519,512,598
566,492,519,512,598,739
492,519,512,598,739,882
519,512,598,739,882,1314
512,598,739,882,1314,1452
598,739,882,1314,1452,1915
739,882,1314,1452,1915,2625
882,1314,1452,1915,2625,3048
1314,1452,1915,2625,3048,4320
1452,1915,2625,3048,4320,3027
1915,2625,3048,4320,3027,2753
2625,3048,4320,3027,2753,2850
3048,4320,3027,2753,2850,4193
4320,3027,2753,2850,4193,14979
3027,2753,2850,4193,14979,6219
2753,2850,4193,14979,6219,5096
2850,4193,14979,6219,5096,5349
4193,14979,6219,5096,5349,5079
14979,6219,5096,5349,5079,4222
6219,5096,5349,5079,4222,4120
5096,5349,5079,4222,4120,3527
5349,5079,4222,4120,3527,2967
5079,4222,4120,3527,2967,2818
4222,4120,3527,2967,2818,2806
4120,3527,2967,2818,2806,2813
3527,2967,2818,2806,2813,2333
2967,2818,2806,2813,2333,279
