Input_0,Input_1,Input_2,Input_3,Input_4,Output_0
24,1,1,3,11,45
1,1,3,11,45,46
1,3,11,45,46,42
3,11,45,46,42,358
11,45,46,42,358,92
45,46,42,358,92,171
46,42,358,92,171,101
42,358,92,171,101,187
358,92,171,101,187,209
92,171,101,187,209,430
171,101,187,209,430,730
101,187,209,430,730,1293
187,209,430,730,1293,2068
209,430,730,1293,2068,2203
430,730,1293,2068,2203,3139
730,1293,2068,2203,3139,3152
1293,2068,2203,3139,3152,2534
2068,2203,3139,3152,2534,1782
2203,3139,3152,2534,1782,1964
3139,3152,2534,1782,1964,2058
3152,2534,1782,1964,2058,4563
2534,1782,1964,2058,4563,3835
1782,1964,2058,4563,3835,3409
1964,2058,4563,3835,3409,3286
2058,4563,3835,3409,3286,3457
4563,3835,3409,3286,3457,2868
3835,3409,3286,3457,2868,2977
3409,3286,3457,2868,2977,2904
3286,3457,2868,2977,2904,2451
3457,2868,2977,2904,2451,2229
2868,2977,2904,2451,2229,2210
2977,2904,2451,2229,2210,2280
2904,2451,2229,2210,2280,1912
2451,2229,2210,2280,1912,261
