"","Var1","Freq"
"1","POR ESTABLECER",8
"2","Archipiélago de San Andrés, Providencia y Santa Catalina",26
"3","",38
"4","Amazonas",62
"5","Guainía",92
"6","Vaupés",105
"7","Vichada",436
"8","Quindío",499
"9","Atlántico",648
"10","Risaralda",738
"11","Cundinamarca",817
"12","Caldas",964
"13","Huila",1046
"14","Bolívar",1078
"15","Boyaca",1314
"16","Arauca",1344
"17","Sucre",1351
"18","Tolima",1359
"19","Chocó",1375
"20","Guaviare",1377
"21","Casanare",1475
"22","La Guajira",1496
"23","BOGOTÁ, D. C.",1733
"24","Cesar",1820
"25","Cauca",1898
"26","Córdoba",2248
"27","Santander",2391
"28","Nariño",2601
"29","Norte de Santander",2824
"30","Magdalena",3022
"31","Caquetá",3313
"32","Putumayo",3629
"33","Valle del Cauca",3735
"34","Meta",5056
"35","Antioquia",11954
