DEPARTAMENTO,TOTAL_VICTIMAS
AMAZONAS,67
ANTIOQUIA,19659
ARAUCA,1720
"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",28
ATLÁNTICO,885
"BOGOTÁ, D. C.",2773
BOLÍVAR,1344
BOYACA,1541
CALDAS,1141
CAQUETÁ,4899
CASANARE,1999
CAUCA,2367
CESAR,2732
CHOCÓ,1774
CUNDINAMARCA,916
CÓRDOBA,3125
GUAINÍA,102
GUAVIARE,2977
HUILA,1318
LA GUAJIRA,1990
MAGDALENA,4249
META,9536
NARIÑO,4340
NORTE DE SANTANDER,4528
POR ESTABLECER,10
PUTUMAYO,5944
QUINDÍO,626
RISARALDA,953
SANTANDER,3448
SUCRE,1669
TOLIMA,1757
VALLE DEL CAUCA,5295
VAUPÉS,196
VICHADA,564
