DEPARTAMENTO,TOTAL_VICTIMAS
AMAZONAS,43
ANTIOQUIA,9212
ARAUCA,986
"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",39
ATLÁNTICO,824
"BOGOTÁ, D. C.",5985
BOLÍVAR,732
BOYACA,3404
CALDAS,896
CAQUETÁ,3127
CASANARE,546
CAUCA,2107
CESAR,772
CHOCÓ,1046
CUNDINAMARCA,1500
CÓRDOBA,532
GUAINÍA,25
GUAVIARE,485
HUILA,908
LA GUAJIRA,1832
MAGDALENA,2195
META,2590
NAN,156
NARIÑO,2534
NORTE DE SANTANDER,1802
PUTUMAYO,2195
QUINDÍO,1813
RISARALDA,964
SANTANDER,1455
SUCRE,2925
TOLIMA,1808
VALLE DEL CAUCA,6621
VAUPÉS,173
VICHADA,99
