"","Var1","Freq"
"1","1960",0
"2","1965",0
"3","1967",0
"4","1968",1
"5","1970",0
"6","1971",0
"7","1975",0
"8","1976",1
"9","1977",1
"10","1978",2
"11","1979",5
"12","1980",21
"13","1981",30
"14","1982",63
"15","1983",51
"16","1984",72
"17","1985",239
"18","1986",215
"19","1987",242
"20","1988",314
"21","1989",345
"22","1990",441
"23","1991",383
"24","1992",434
"25","1993",418
"26","1994",454
"27","1995",561
"28","1996",685
"29","1997",892
"30","1998",995
"31","1999",1269
"32","2000",1695
"33","2001",1971
"34","2002",2680
"35","2003",2078
"36","2004",1873
"37","2005",2095
"38","2006",2729
"39","2007",8367
"40","2008",4504
"41","2009",3360
"42","2010",3393
"43","2011",2936
"44","2012",2689
"45","2013",2501
"46","2014",2257
"47","2015",1942
"48","2016",1831
"49","2017",1829
"50","2018",1832
"51","2019",1614
"52","2020",244
"53","SIN REGISTRO",1318
