"","Var1","Freq"
"1","POR ESTABLECER",2
"2","Guainía",24
"3","Vaupés",26
"4","Archipiélago de San Andrés, Providencia y Santa Catalina",33
"5","Amazonas",42
"6","Vichada",68
"7","",126
"8","Guaviare",155
"9","Córdoba",384
"10","Casanare",439
"11","Atlántico",557
"12","Bolívar",582
"13","Cesar",589
"14","Chocó",641
"15","Caldas",676
"16","Arauca",749
"17","Huila",780
"18","Risaralda",783
"19","Santander",1118
"20","Quindío",1129
"21","La Guajira",1168
"22","Putumayo",1246
"23","Meta",1272
"24","Sucre",1298
"25","Cundinamarca",1315
"26","Norte de Santander",1369
"27","Magdalena",1373
"28","Tolima",1522
"29","Cauca",1659
"30","Nariño",2002
"31","Caquetá",2048
"32","Boyaca",2439
"33","BOGOTÁ, D. C.",2766
"34","Valle del Cauca",4314
"35","Antioquia",5269
