0,1,2,3,4,5
1008,1008,1109,308,1465,1188
1008,1109,308,1465,1188,701
1109,308,1465,1188,701,618
308,1465,1188,701,618,1009
1465,1188,701,618,1009,126
1188,701,618,1009,126,462
701,618,1009,126,462,158
618,1009,126,462,158,962
1009,126,462,158,962,772
126,462,158,962,772,1008
462,158,962,772,1008,816
158,962,772,1008,816,925
962,772,1008,816,925,277
772,1008,816,925,277,383
1008,816,925,277,383,922
816,925,277,383,922,461
925,277,383,922,461,1008
277,383,922,461,1008,1009
383,922,461,1008,1009,156
922,461,1008,1009,156,13
461,1008,1009,156,13,616
1008,1009,156,13,616,615
1009,156,13,616,615,237
156,13,616,615,237,544
13,616,615,237,544,1009
616,615,237,544,1009,1009
615,237,544,1009,1009,1009
237,544,1009,1009,1009,661
544,1009,1009,1009,661,809
1009,1009,1009,661,809,1483
1009,1009,661,809,1483,500
1009,661,809,1483,500,500
661,809,1483,500,500,500
809,1483,500,500,500,500
1483,500,500,500,500,500
500,500,500,500,500,499
500,500,500,500,499,1046
500,500,500,499,1046,1009
500,500,499,1046,1009,462
500,499,1046,1009,462,462
499,1046,1009,462,462,500
1046,1009,462,462,500,1000
1009,462,462,500,1000,702
462,462,500,1000,702,195
462,500,1000,702,195,499
500,1000,702,195,499,1009
1000,702,195,499,1009,1009
702,195,499,1009,1009,462
195,499,1009,1009,462,461
499,1009,1009,462,461,500
1009,1009,462,461,500,1067
1009,462,461,500,1067,1009
462,461,500,1067,1009,809
461,500,1067,1009,809,1188
500,1067,1009,809,1188,307
1067,1009,809,1188,307,971
1009,809,1188,307,971,892
809,1188,307,971,892,1235
1188,307,971,892,1235,1046
307,971,892,1235,1046,233
971,892,1235,1046,233,237
892,1235,1046,233,237,1008
1235,1046,233,237,1008,1008
1046,233,237,1008,1008,701
233,237,1008,1008,701,701
237,1008,1008,701,701,1009
1008,1008,701,701,1009,971
1008,701,701,1009,971,308
701,701,1009,971,308,1205
701,1009,971,308,1205,652
1009,971,308,1205,652,2
971,308,1205,652,2,1081
308,1205,652,2,1081,1353
1205,652,2,1081,1353,275
652,2,1081,1353,275,768
2,1081,1353,275,768,654
1081,1353,275,768,654,1035
1353,275,768,654,1035,88
275,768,654,1035,88,276
768,654,1035,88,276,117
654,1035,88,276,117,1009
1035,88,276,117,1009,1008
88,276,117,1009,1008,195
276,117,1009,1008,195,1080
117,1009,1008,195,1080,1008
1009,1008,195,1080,1008,461
1008,195,1080,1008,461,1039
195,1080,1008,461,1039,1039
1080,1008,461,1039,1039,1039
1008,461,1039,1039,1039,1039
461,1039,1039,1039,1039,1040
1039,1039,1039,1039,1040,1039
1039,1039,1039,1040,1039,1009
1039,1039,1040,1039,1009,200
1039,1040,1039,1009,200,276
1040,1039,1009,200,276,389
1039,1009,200,276,389,276
1009,200,276,389,276,463
200,276,389,276,463,1046
276,389,276,463,1046,1009
389,276,463,1046,1009,346
276,463,1046,1009,346,747
463,1046,1009,346,747,232
1046,1009,346,747,232,730
1009,346,747,232,730,1166
346,747,232,730,1166,1008
747,232,730,1166,1008,389
232,730,1166,1008,389,1001
730,1166,1008,389,1001,844
1166,1008,389,1001,844,1188
