0,1,2,3,4,5,6,7,8,9,10
1008,1008,1109,308,1465,1188,701,618,1009,126,462
1008,1109,308,1465,1188,701,618,1009,126,462,158
1109,308,1465,1188,701,618,1009,126,462,158,962
308,1465,1188,701,618,1009,126,462,158,962,772
1465,1188,701,618,1009,126,462,158,962,772,1008
1188,701,618,1009,126,462,158,962,772,1008,816
701,618,1009,126,462,158,962,772,1008,816,925
618,1009,126,462,158,962,772,1008,816,925,277
1009,126,462,158,962,772,1008,816,925,277,383
126,462,158,962,772,1008,816,925,277,383,922
462,158,962,772,1008,816,925,277,383,922,461
158,962,772,1008,816,925,277,383,922,461,1008
962,772,1008,816,925,277,383,922,461,1008,1009
772,1008,816,925,277,383,922,461,1008,1009,156
1008,816,925,277,383,922,461,1008,1009,156,13
816,925,277,383,922,461,1008,1009,156,13,616
925,277,383,922,461,1008,1009,156,13,616,615
277,383,922,461,1008,1009,156,13,616,615,237
383,922,461,1008,1009,156,13,616,615,237,544
922,461,1008,1009,156,13,616,615,237,544,1009
461,1008,1009,156,13,616,615,237,544,1009,1009
1008,1009,156,13,616,615,237,544,1009,1009,1009
1009,156,13,616,615,237,544,1009,1009,1009,661
156,13,616,615,237,544,1009,1009,1009,661,809
13,616,615,237,544,1009,1009,1009,661,809,1483
616,615,237,544,1009,1009,1009,661,809,1483,500
615,237,544,1009,1009,1009,661,809,1483,500,500
237,544,1009,1009,1009,661,809,1483,500,500,500
544,1009,1009,1009,661,809,1483,500,500,500,500
1009,1009,1009,661,809,1483,500,500,500,500,500
1009,1009,661,809,1483,500,500,500,500,500,499
1009,661,809,1483,500,500,500,500,500,499,1046
661,809,1483,500,500,500,500,500,499,1046,1009
809,1483,500,500,500,500,500,499,1046,1009,462
1483,500,500,500,500,500,499,1046,1009,462,462
500,500,500,500,500,499,1046,1009,462,462,500
500,500,500,500,499,1046,1009,462,462,500,1000
500,500,500,499,1046,1009,462,462,500,1000,702
500,500,499,1046,1009,462,462,500,1000,702,195
500,499,1046,1009,462,462,500,1000,702,195,499
499,1046,1009,462,462,500,1000,702,195,499,1009
1046,1009,462,462,500,1000,702,195,499,1009,1009
1009,462,462,500,1000,702,195,499,1009,1009,462
462,462,500,1000,702,195,499,1009,1009,462,461
462,500,1000,702,195,499,1009,1009,462,461,500
500,1000,702,195,499,1009,1009,462,461,500,1067
1000,702,195,499,1009,1009,462,461,500,1067,1009
702,195,499,1009,1009,462,461,500,1067,1009,809
195,499,1009,1009,462,461,500,1067,1009,809,1188
499,1009,1009,462,461,500,1067,1009,809,1188,307
1009,1009,462,461,500,1067,1009,809,1188,307,971
1009,462,461,500,1067,1009,809,1188,307,971,892
462,461,500,1067,1009,809,1188,307,971,892,1235
461,500,1067,1009,809,1188,307,971,892,1235,1046
500,1067,1009,809,1188,307,971,892,1235,1046,233
1067,1009,809,1188,307,971,892,1235,1046,233,237
1009,809,1188,307,971,892,1235,1046,233,237,1008
809,1188,307,971,892,1235,1046,233,237,1008,1008
1188,307,971,892,1235,1046,233,237,1008,1008,701
307,971,892,1235,1046,233,237,1008,1008,701,701
971,892,1235,1046,233,237,1008,1008,701,701,1009
892,1235,1046,233,237,1008,1008,701,701,1009,971
1235,1046,233,237,1008,1008,701,701,1009,971,308
1046,233,237,1008,1008,701,701,1009,971,308,1205
233,237,1008,1008,701,701,1009,971,308,1205,652
237,1008,1008,701,701,1009,971,308,1205,652,2
1008,1008,701,701,1009,971,308,1205,652,2,1081
1008,701,701,1009,971,308,1205,652,2,1081,1353
701,701,1009,971,308,1205,652,2,1081,1353,275
701,1009,971,308,1205,652,2,1081,1353,275,768
1009,971,308,1205,652,2,1081,1353,275,768,654
971,308,1205,652,2,1081,1353,275,768,654,1035
308,1205,652,2,1081,1353,275,768,654,1035,88
1205,652,2,1081,1353,275,768,654,1035,88,276
652,2,1081,1353,275,768,654,1035,88,276,117
2,1081,1353,275,768,654,1035,88,276,117,1009
1081,1353,275,768,654,1035,88,276,117,1009,1008
1353,275,768,654,1035,88,276,117,1009,1008,195
275,768,654,1035,88,276,117,1009,1008,195,1080
768,654,1035,88,276,117,1009,1008,195,1080,1008
654,1035,88,276,117,1009,1008,195,1080,1008,461
1035,88,276,117,1009,1008,195,1080,1008,461,1039
88,276,117,1009,1008,195,1080,1008,461,1039,1039
276,117,1009,1008,195,1080,1008,461,1039,1039,1039
117,1009,1008,195,1080,1008,461,1039,1039,1039,1039
1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040
1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039
195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009
1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200
1008,461,1039,1039,1039,1039,1040,1039,1009,200,276
461,1039,1039,1039,1039,1040,1039,1009,200,276,389
1039,1039,1039,1039,1040,1039,1009,200,276,389,276
1039,1039,1039,1040,1039,1009,200,276,389,276,463
1039,1039,1040,1039,1009,200,276,389,276,463,1046
1039,1040,1039,1009,200,276,389,276,463,1046,1009
1040,1039,1009,200,276,389,276,463,1046,1009,346
1039,1009,200,276,389,276,463,1046,1009,346,747
1009,200,276,389,276,463,1046,1009,346,747,232
200,276,389,276,463,1046,1009,346,747,232,730
276,389,276,463,1046,1009,346,747,232,730,1166
389,276,463,1046,1009,346,747,232,730,1166,1008
276,463,1046,1009,346,747,232,730,1166,1008,389
463,1046,1009,346,747,232,730,1166,1008,389,1001
1046,1009,346,747,232,730,1166,1008,389,1001,844
1009,346,747,232,730,1166,1008,389,1001,844,1188
346,747,232,730,1166,1008,389,1001,844,1188,1008
747,232,730,1166,1008,389,1001,844,1188,1008,384
232,730,1166,1008,389,1001,844,1188,1008,384,308
730,1166,1008,389,1001,844,1188,1008,384,308,346
1166,1008,389,1001,844,1188,1008,384,308,346,501
1008,389,1001,844,1188,1008,384,308,346,501,345
389,1001,844,1188,1008,384,308,346,501,345,1204
1001,844,1188,1008,384,308,346,501,345,1204,499
844,1188,1008,384,308,346,501,345,1204,499,1008
1188,1008,384,308,346,501,345,1204,499,1008,855
1008,384,308,346,501,345,1204,499,1008,855,462
384,308,346,501,345,1204,499,1008,855,462,462
308,346,501,345,1204,499,1008,855,462,462,462
346,501,345,1204,499,1008,855,462,462,462,734
501,345,1204,499,1008,855,462,462,462,734,385
345,1204,499,1008,855,462,462,462,734,385,968
1204,499,1008,855,462,462,462,734,385,968,239
499,1008,855,462,462,462,734,385,968,239,383
1008,855,462,462,462,734,385,968,239,383,383
855,462,462,462,734,385,968,239,383,383,500
462,462,462,734,385,968,239,383,383,500,500
462,462,734,385,968,239,383,383,500,500,500
462,734,385,968,239,383,383,500,500,500,423
734,385,968,239,383,383,500,500,500,423,1008
385,968,239,383,383,500,500,500,423,1008,3
968,239,383,383,500,500,500,423,1008,3,1008
239,383,383,500,500,500,423,1008,3,1008,120
383,383,500,500,500,423,1008,3,1008,120,276
383,500,500,500,423,1008,3,1008,120,276,462
500,500,500,423,1008,3,1008,120,276,462,1008
500,500,423,1008,3,1008,120,276,462,1008,1009
500,423,1008,3,1008,120,276,462,1008,1009,422
423,1008,3,1008,120,276,462,1008,1009,422,309
1008,3,1008,120,276,462,1008,1009,422,309,309
3,1008,120,276,462,1008,1009,422,309,309,884
1008,120,276,462,1008,1009,422,309,309,884,1008
120,276,462,1008,1009,422,309,309,884,1008,50
276,462,1008,1009,422,309,309,884,1008,50,1165
462,1008,1009,422,309,309,884,1008,50,1165,461
1008,1009,422,309,309,884,1008,50,1165,461,1008
1009,422,309,309,884,1008,50,1165,461,1008,201
422,309,309,884,1008,50,1165,461,1008,201,422
309,309,884,1008,50,1165,461,1008,201,422,422
309,884,1008,50,1165,461,1008,201,422,422,461
884,1008,50,1165,461,1008,201,422,422,461,1008
1008,50,1165,461,1008,201,422,422,461,1008,1008
50,1165,461,1008,201,422,422,461,1008,1008,461
1165,461,1008,201,422,422,461,1008,1008,461,160
461,1008,201,422,422,461,1008,1008,461,160,1008
1008,201,422,422,461,1008,1008,461,160,1008,1008
201,422,422,461,1008,1008,461,160,1008,1008,461
422,422,461,1008,1008,461,160,1008,1008,461,462
422,461,1008,1008,461,160,1008,1008,461,462,461
461,1008,1008,461,160,1008,1008,461,462,461,461
1008,1008,461,160,1008,1008,461,462,461,461,1008
1008,461,160,1008,1008,461,462,461,461,1008,460
461,160,1008,1008,461,462,461,461,1008,460,1008
160,1008,1008,461,462,461,461,1008,460,1008,423
1008,1008,461,462,461,461,1008,460,1008,423,1009
1008,461,462,461,461,1008,460,1008,423,1009,1046
461,462,461,461,1008,460,1008,423,1009,1046,383
462,461,461,1008,460,1008,423,1009,1046,383,422
461,461,1008,460,1008,423,1009,1046,383,422,307
461,1008,460,1008,423,1009,1046,383,422,307,269
1008,460,1008,423,1009,1046,383,422,307,269,423
460,1008,423,1009,1046,383,422,307,269,423,383
1008,423,1009,1046,383,422,307,269,423,383,971
423,1009,1046,383,422,307,269,423,383,971,461
1009,1046,383,422,307,269,423,383,971,461,269
1046,383,422,307,269,423,383,971,461,269,355
383,422,307,269,423,383,971,461,269,355,307
422,307,269,423,383,971,461,269,355,307,307
307,269,423,383,971,461,269,355,307,307,422
269,423,383,971,461,269,355,307,307,422,345
423,383,971,461,269,355,307,307,422,345,383
383,971,461,269,355,307,307,422,345,383,422
971,461,269,355,307,307,422,345,383,422,1164
461,269,355,307,307,422,345,383,422,1164,969
269,355,307,307,422,345,383,422,1164,969,307
355,307,307,422,345,383,422,1164,969,307,385
307,307,422,345,383,422,1164,969,307,385,10
307,422,345,383,422,1164,969,307,385,10,383
422,345,383,422,1164,969,307,385,10,383,462
345,383,422,1164,969,307,385,10,383,462,460
383,422,1164,969,307,385,10,383,462,460,460
422,1164,969,307,385,10,383,462,460,460,269
1164,969,307,385,10,383,462,460,460,269,461
969,307,385,10,383,462,460,460,269,461,383
307,385,10,383,462,460,460,269,461,383,345
385,10,383,462,460,460,269,461,383,345,422
10,383,462,460,460,269,461,383,345,422,195
383,462,460,460,269,461,383,345,422,195,383
462,460,460,269,461,383,345,422,195,383,384
460,460,269,461,383,345,422,195,383,384,384
460,269,461,383,345,422,195,383,384,384,384
269,461,383,345,422,195,383,384,384,384,346
461,383,345,422,195,383,384,384,384,346,384
383,345,422,195,383,384,384,384,346,384,384
345,422,195,383,384,384,384,346,384,384,384
422,195,383,384,384,384,346,384,384,384,384
195,383,384,384,384,346,384,384,384,384,383
383,384,384,384,346,384,384,384,384,383,461
384,384,384,346,384,384,384,384,383,461,384
384,384,346,384,384,384,384,383,461,384,460
384,346,384,384,384,384,383,461,384,460,461
346,384,384,384,384,383,461,384,460,461,384
384,384,384,384,383,461,384,460,461,384,423
384,384,384,383,461,384,460,461,384,423,461
384,384,383,461,384,460,461,384,423,461,461
384,383,461,384,460,461,384,423,461,461,461
383,461,384,460,461,384,423,461,461,461,460
461,384,460,461,384,423,461,461,461,460,460
384,460,461,384,423,461,461,461,460,460,1009
460,461,384,423,461,461,461,460,460,1009,461
461,384,423,461,461,461,460,460,1009,461,461
384,423,461,461,461,460,460,1009,461,461,461
423,461,461,461,460,460,1009,461,461,461,461
461,461,461,460,460,1009,461,461,461,461,461
461,461,460,460,1009,461,461,461,461,461,307
461,460,460,1009,461,461,461,461,461,307,422
460,460,1009,461,461,461,461,461,307,422,421
460,1009,461,461,461,461,461,307,422,421,383
1009,461,461,461,461,461,307,422,421,383,383
461,461,461,461,461,307,422,421,383,383,383
461,461,461,461,307,422,421,383,383,383,307
461,461,461,307,422,421,383,383,383,307,307
461,461,307,422,421,383,383,383,307,307,384
461,307,422,421,383,383,383,307,307,384,384
307,422,421,383,383,383,307,307,384,384,384
422,421,383,383,383,307,307,384,384,384,385
421,383,383,383,307,307,384,384,384,385,276
383,383,383,307,307,384,384,384,385,276,461
383,383,307,307,384,384,384,385,276,461,423
383,307,307,384,384,384,385,276,461,423,308
307,307,384,384,384,385,276,461,423,308,461
307,384,384,384,385,276,461,423,308,461,1182
384,384,384,385,276,461,423,308,461,1182,383
384,384,385,276,461,423,308,461,1182,383,383
384,385,276,461,423,308,461,1182,383,383,384
385,276,461,423,308,461,1182,383,383,384,384
276,461,423,308,461,1182,383,383,384,384,422
461,423,308,461,1182,383,383,384,384,422,384
423,308,461,1182,383,383,384,384,422,384,384
308,461,1182,383,383,384,384,422,384,384,422
461,1182,383,383,384,384,422,384,384,422,384
1182,383,383,384,384,422,384,384,422,384,384
383,383,384,384,422,384,384,422,384,384,384
383,384,384,422,384,384,422,384,384,384,422
384,384,422,384,384,422,384,384,384,422,384
384,422,384,384,422,384,384,384,422,384,422
422,384,384,422,384,384,384,422,384,422,385
384,384,422,384,384,384,422,384,422,385,423
384,422,384,384,384,422,384,422,385,423,423
422,384,384,384,422,384,422,385,423,423,275
384,384,384,422,384,422,385,423,423,275,238
384,384,422,384,422,385,423,423,275,238,275
384,422,384,422,385,423,423,275,238,275,1008
422,384,422,385,423,423,275,238,275,1008,1000
384,422,385,423,423,275,238,275,1008,1000,1001
422,385,423,423,275,238,275,1008,1000,1001,200
385,423,423,275,238,275,1008,1000,1001,200,47
423,423,275,238,275,1008,1000,1001,200,47,1008
423,275,238,275,1008,1000,1001,200,47,1008,1038
275,238,275,1008,1000,1001,200,47,1008,1038,1164
238,275,1008,1000,1001,200,47,1008,1038,1164,1080
275,1008,1000,1001,200,47,1008,1038,1164,1080,1008
1008,1000,1001,200,47,1008,1038,1164,1080,1008,690
1000,1001,200,47,1008,1038,1164,1080,1008,690,1008
1001,200,47,1008,1038,1164,1080,1008,690,1008,1008
200,47,1008,1038,1164,1080,1008,690,1008,1008,119
47,1008,1038,1164,1080,1008,690,1008,1008,119,891
1008,1038,1164,1080,1008,690,1008,1008,119,891,1008
1038,1164,1080,1008,690,1008,1008,119,891,1008,1035
1164,1080,1008,690,1008,1008,119,891,1008,1035,739
1080,1008,690,1008,1008,119,891,1008,1035,739,1008
1008,690,1008,1008,119,891,1008,1035,739,1008,1008
690,1008,1008,119,891,1008,1035,739,1008,1008,1008
1008,1008,119,891,1008,1035,739,1008,1008,1008,270
1008,119,891,1008,1035,739,1008,1008,1008,270,308
119,891,1008,1035,739,1008,1008,1008,270,308,1028
891,1008,1035,739,1008,1008,1008,270,308,1028,971
1008,1035,739,1008,1008,1008,270,308,1028,971,1009
1035,739,1008,1008,1008,270,308,1028,971,1009,3
739,1008,1008,1008,270,308,1028,971,1009,3,1008
1008,1008,1008,270,308,1028,971,1009,3,1008,743
1008,1008,270,308,1028,971,1009,3,1008,743,1204
1008,270,308,1028,971,1009,3,1008,743,1204,1464
270,308,1028,971,1009,3,1008,743,1204,1464,1008
308,1028,971,1009,3,1008,743,1204,1464,1008,1008
1028,971,1009,3,1008,743,1204,1464,1008,1008,1008
971,1009,3,1008,743,1204,1464,1008,1008,1008,276
1009,3,1008,743,1204,1464,1008,1008,1008,276,1033
3,1008,743,1204,1464,1008,1008,1008,276,1033,1008
1008,743,1204,1464,1008,1008,1008,276,1033,1008,79
743,1204,1464,1008,1008,1008,276,1033,1008,79,577
1204,1464,1008,1008,1008,276,1033,1008,79,577,1008
1464,1008,1008,1008,276,1033,1008,79,577,1008,807
1008,1008,1008,276,1033,1008,79,577,1008,807,1001
1008,1008,276,1033,1008,79,577,1008,807,1001,1222
1008,276,1033,1008,79,577,1008,807,1001,1222,925
276,1033,1008,79,577,1008,807,1001,1222,925,858
1033,1008,79,577,1008,807,1001,1222,925,858,916
1008,79,577,1008,807,1001,1222,925,858,916,660
79,577,1008,807,1001,1222,925,858,916,660,1008
577,1008,807,1001,1222,925,858,916,660,1008,1241
1008,807,1001,1222,925,858,916,660,1008,1241,234
807,1001,1222,925,858,916,660,1008,1241,234,464
1001,1222,925,858,916,660,1008,1241,234,464,1008
1222,925,858,916,660,1008,1241,234,464,1008,1000
925,858,916,660,1008,1241,234,464,1008,1000,80
858,916,660,1008,1241,234,464,1008,1000,80,500
916,660,1008,1241,234,464,1008,1000,80,500,1028
660,1008,1241,234,464,1008,1000,80,500,1028,159
1008,1241,234,464,1008,1000,80,500,1028,159,271
1241,234,464,1008,1000,80,500,1028,159,271,884
234,464,1008,1000,80,500,1028,159,271,884,1008
464,1008,1000,80,500,1028,159,271,884,1008,1164
1008,1000,80,500,1028,159,271,884,1008,1164,166
1000,80,500,1028,159,271,884,1008,1164,166,164
80,500,1028,159,271,884,1008,1164,166,164,1008
500,1028,159,271,884,1008,1164,166,164,1008,970
