0,1,2,3,4,5
845,1035,1035,276,1008,730
1035,1035,276,1008,730,1049
1035,276,1008,730,1049,1008
276,1008,730,1049,1008,584
1008,730,1049,1008,584,856
730,1049,1008,584,856,1242
1049,1008,584,856,1242,922
1008,584,856,1242,922,739
584,856,1242,922,739,350
856,1242,922,739,350,276
1242,922,739,350,276,1008
922,739,350,276,1008,692
739,350,276,1008,692,973
350,276,1008,692,973,923
276,1008,692,973,923,659
1008,692,973,923,659,1008
692,973,923,659,1008,1008
973,923,659,1008,1008,307
923,659,1008,1008,307,307
659,1008,1008,307,307,307
1008,1008,307,307,307,307
1008,307,307,307,307,307
307,307,307,307,307,922
307,307,307,307,922,1009
307,307,307,922,1009,1035
307,307,922,1009,1035,269
307,922,1009,1035,269,269
922,1009,1035,269,269,269
1009,1035,269,269,269,269
1035,269,269,269,269,230
269,269,269,269,230,195
269,269,269,230,195,1008
269,269,230,195,1008,847
269,230,195,1008,847,277
230,195,1008,847,277,1009
195,1008,847,277,1009,732
1008,847,277,1009,732,235
847,277,1009,732,235,1010
277,1009,732,235,1010,1360
1009,732,235,1010,1360,971
732,235,1010,1360,971,1008
235,1010,1360,971,1008,1113
1010,1360,971,1008,1113,998
1360,971,1008,1113,998,998
971,1008,1113,998,998,41
1008,1113,998,998,41,1084
1113,998,998,41,1084,1039
998,998,41,1084,1039,1039
998,41,1084,1039,1039,1039
41,1084,1039,1039,1039,1040
1084,1039,1039,1039,1040,1003
1039,1039,1039,1040,1003,1002
1039,1039,1040,1003,1002,1039
1039,1040,1003,1002,1039,41
1040,1003,1002,1039,41,1009
1003,1002,1039,41,1009,1008
1002,1039,41,1009,1008,656
1039,41,1009,1008,656,887
41,1009,1008,656,887,1009
1009,1008,656,887,1009,965
1008,656,887,1009,965,1035
656,887,1009,965,1035,1035
887,1009,965,1035,1035,276
1009,965,1035,1035,276,276
965,1035,1035,276,276,803
1035,1035,276,276,803,1009
1035,276,276,803,1009,1244
276,276,803,1009,1244,1236
276,803,1009,1244,1236,1367
803,1009,1244,1236,1367,1008
1009,1244,1236,1367,1008,1008
1244,1236,1367,1008,1008,922
1236,1367,1008,1008,922,704
1367,1008,1008,922,704,1009
1008,1008,922,704,1009,972
1008,922,704,1009,972,971
922,704,1009,972,971,276
704,1009,972,971,276,768
1009,972,971,276,768,884
972,971,276,768,884,1009
971,276,768,884,1009,1156
276,768,884,1009,1156,1156
768,884,1009,1156,1156,1008
884,1009,1156,1156,1008,10
1009,1156,1156,1008,10,1008
1156,1156,1008,10,1008,971
1156,1008,10,1008,971,1425
1008,10,1008,971,1425,691
10,1008,971,1425,691,125
1008,971,1425,691,125,1263
971,1425,691,125,1263,971
1425,691,125,1263,971,275
691,125,1263,971,275,1391
125,1263,971,275,1391,1009
1263,971,275,1391,1009,230
971,275,1391,1009,230,1427
275,1391,1009,230,1427,653
1391,1009,230,1427,653,125
1009,230,1427,653,125,919
230,1427,653,125,919,1009
1427,653,125,919,1009,1087
653,125,919,1009,1087,351
125,919,1009,1087,351,3
919,1009,1087,351,3,653
1009,1087,351,3,653,1008
1087,351,3,653,1008,154
351,3,653,1008,154,1186
3,653,1008,154,1186,1008
653,1008,154,1186,1008,1008
1008,154,1186,1008,1008,1188
154,1186,1008,1008,1188,579
1186,1008,1008,1188,579,314
1008,1008,1188,579,314,1008
1008,1188,579,314,1008,1037
1188,579,314,1008,1037,1010
579,314,1008,1037,1010,236
314,1008,1037,1010,236,619
1008,1037,1010,236,619,1009
1037,1010,236,619,1009,1008
1010,236,619,1009,1008,237
236,619,1009,1008,237,269
619,1009,1008,237,269,1038
1009,1008,237,269,1038,1008
1008,237,269,1038,1008,934
237,269,1038,1008,934,1008
269,1038,1008,934,1008,1009
1038,1008,934,1008,1009,279
1008,934,1008,1009,279,276
934,1008,1009,279,276,237
1008,1009,279,276,237,1427
1009,279,276,237,1427,40
279,276,237,1427,40,3
276,237,1427,40,3,971
237,1427,40,3,971,276
1427,40,3,971,276,854
40,3,971,276,854,195
3,971,276,854,195,241
971,276,854,195,241,1035
276,854,195,241,1035,960
854,195,241,1035,960,1075
195,241,1035,960,1075,1008
241,1035,960,1075,1008,622
1035,960,1075,1008,622,1009
960,1075,1008,622,1009,314
1075,1008,622,1009,314,933
1008,622,1009,314,933,1008
622,1009,314,933,1008,971
1009,314,933,1008,971,1008
314,933,1008,971,1008,1008
933,1008,971,1008,1008,1008
1008,971,1008,1008,1008,1347
971,1008,1008,1008,1347,499
1008,1008,1008,1347,499,992
1008,1008,1347,499,992,461
1008,1347,499,992,461,1008
1347,499,992,461,1008,461
499,992,461,1008,461,423
992,461,1008,461,423,460
461,1008,461,423,460,1008
1008,461,423,460,1008,88
461,423,460,1008,88,1112
423,460,1008,88,1112,1008
460,1008,88,1112,1008,1359
