0,1,2,3,4,5,6,7,8,9,10,11
1008,1008,1109,308,1465,1188,701,618,1009,126,462,158
1008,1109,308,1465,1188,701,618,1009,126,462,158,962
1109,308,1465,1188,701,618,1009,126,462,158,962,772
308,1465,1188,701,618,1009,126,462,158,962,772,1008
1465,1188,701,618,1009,126,462,158,962,772,1008,816
1188,701,618,1009,126,462,158,962,772,1008,816,925
701,618,1009,126,462,158,962,772,1008,816,925,277
618,1009,126,462,158,962,772,1008,816,925,277,383
1009,126,462,158,962,772,1008,816,925,277,383,922
126,462,158,962,772,1008,816,925,277,383,922,461
462,158,962,772,1008,816,925,277,383,922,461,1008
158,962,772,1008,816,925,277,383,922,461,1008,1009
962,772,1008,816,925,277,383,922,461,1008,1009,156
772,1008,816,925,277,383,922,461,1008,1009,156,13
1008,816,925,277,383,922,461,1008,1009,156,13,616
816,925,277,383,922,461,1008,1009,156,13,616,615
925,277,383,922,461,1008,1009,156,13,616,615,237
277,383,922,461,1008,1009,156,13,616,615,237,544
383,922,461,1008,1009,156,13,616,615,237,544,1009
922,461,1008,1009,156,13,616,615,237,544,1009,1009
461,1008,1009,156,13,616,615,237,544,1009,1009,1009
1008,1009,156,13,616,615,237,544,1009,1009,1009,661
1009,156,13,616,615,237,544,1009,1009,1009,661,809
156,13,616,615,237,544,1009,1009,1009,661,809,1483
13,616,615,237,544,1009,1009,1009,661,809,1483,500
616,615,237,544,1009,1009,1009,661,809,1483,500,500
615,237,544,1009,1009,1009,661,809,1483,500,500,500
237,544,1009,1009,1009,661,809,1483,500,500,500,500
544,1009,1009,1009,661,809,1483,500,500,500,500,500
1009,1009,1009,661,809,1483,500,500,500,500,500,499
1009,1009,661,809,1483,500,500,500,500,500,499,1046
1009,661,809,1483,500,500,500,500,500,499,1046,1009
661,809,1483,500,500,500,500,500,499,1046,1009,462
809,1483,500,500,500,500,500,499,1046,1009,462,462
1483,500,500,500,500,500,499,1046,1009,462,462,500
500,500,500,500,500,499,1046,1009,462,462,500,1000
500,500,500,500,499,1046,1009,462,462,500,1000,702
500,500,500,499,1046,1009,462,462,500,1000,702,195
500,500,499,1046,1009,462,462,500,1000,702,195,499
500,499,1046,1009,462,462,500,1000,702,195,499,1009
499,1046,1009,462,462,500,1000,702,195,499,1009,1009
1046,1009,462,462,500,1000,702,195,499,1009,1009,462
1009,462,462,500,1000,702,195,499,1009,1009,462,461
462,462,500,1000,702,195,499,1009,1009,462,461,500
462,500,1000,702,195,499,1009,1009,462,461,500,1067
500,1000,702,195,499,1009,1009,462,461,500,1067,1009
1000,702,195,499,1009,1009,462,461,500,1067,1009,809
702,195,499,1009,1009,462,461,500,1067,1009,809,1188
195,499,1009,1009,462,461,500,1067,1009,809,1188,307
499,1009,1009,462,461,500,1067,1009,809,1188,307,971
1009,1009,462,461,500,1067,1009,809,1188,307,971,892
1009,462,461,500,1067,1009,809,1188,307,971,892,1235
462,461,500,1067,1009,809,1188,307,971,892,1235,1046
461,500,1067,1009,809,1188,307,971,892,1235,1046,233
500,1067,1009,809,1188,307,971,892,1235,1046,233,237
1067,1009,809,1188,307,971,892,1235,1046,233,237,1008
1009,809,1188,307,971,892,1235,1046,233,237,1008,1008
809,1188,307,971,892,1235,1046,233,237,1008,1008,701
1188,307,971,892,1235,1046,233,237,1008,1008,701,701
307,971,892,1235,1046,233,237,1008,1008,701,701,1009
971,892,1235,1046,233,237,1008,1008,701,701,1009,971
892,1235,1046,233,237,1008,1008,701,701,1009,971,308
1235,1046,233,237,1008,1008,701,701,1009,971,308,1205
1046,233,237,1008,1008,701,701,1009,971,308,1205,652
233,237,1008,1008,701,701,1009,971,308,1205,652,2
237,1008,1008,701,701,1009,971,308,1205,652,2,1081
1008,1008,701,701,1009,971,308,1205,652,2,1081,1353
1008,701,701,1009,971,308,1205,652,2,1081,1353,275
701,701,1009,971,308,1205,652,2,1081,1353,275,768
701,1009,971,308,1205,652,2,1081,1353,275,768,654
1009,971,308,1205,652,2,1081,1353,275,768,654,1035
971,308,1205,652,2,1081,1353,275,768,654,1035,88
308,1205,652,2,1081,1353,275,768,654,1035,88,276
1205,652,2,1081,1353,275,768,654,1035,88,276,117
652,2,1081,1353,275,768,654,1035,88,276,117,1009
2,1081,1353,275,768,654,1035,88,276,117,1009,1008
1081,1353,275,768,654,1035,88,276,117,1009,1008,195
1353,275,768,654,1035,88,276,117,1009,1008,195,1080
275,768,654,1035,88,276,117,1009,1008,195,1080,1008
768,654,1035,88,276,117,1009,1008,195,1080,1008,461
654,1035,88,276,117,1009,1008,195,1080,1008,461,1039
1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039
88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039
276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039
117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040
1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039
1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009
195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200
1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276
1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389
461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276
1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463
1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046
1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009
1039,1040,1039,1009,200,276,389,276,463,1046,1009,346
1040,1039,1009,200,276,389,276,463,1046,1009,346,747
1039,1009,200,276,389,276,463,1046,1009,346,747,232
1009,200,276,389,276,463,1046,1009,346,747,232,730
200,276,389,276,463,1046,1009,346,747,232,730,1166
276,389,276,463,1046,1009,346,747,232,730,1166,1008
389,276,463,1046,1009,346,747,232,730,1166,1008,389
276,463,1046,1009,346,747,232,730,1166,1008,389,1001
463,1046,1009,346,747,232,730,1166,1008,389,1001,844
1046,1009,346,747,232,730,1166,1008,389,1001,844,1188
1009,346,747,232,730,1166,1008,389,1001,844,1188,1008
346,747,232,730,1166,1008,389,1001,844,1188,1008,384
747,232,730,1166,1008,389,1001,844,1188,1008,384,308
232,730,1166,1008,389,1001,844,1188,1008,384,308,346
730,1166,1008,389,1001,844,1188,1008,384,308,346,501
1166,1008,389,1001,844,1188,1008,384,308,346,501,345
1008,389,1001,844,1188,1008,384,308,346,501,345,1204
389,1001,844,1188,1008,384,308,346,501,345,1204,499
1001,844,1188,1008,384,308,346,501,345,1204,499,1008
844,1188,1008,384,308,346,501,345,1204,499,1008,855
1188,1008,384,308,346,501,345,1204,499,1008,855,462
1008,384,308,346,501,345,1204,499,1008,855,462,462
384,308,346,501,345,1204,499,1008,855,462,462,462
308,346,501,345,1204,499,1008,855,462,462,462,734
346,501,345,1204,499,1008,855,462,462,462,734,385
501,345,1204,499,1008,855,462,462,462,734,385,968
345,1204,499,1008,855,462,462,462,734,385,968,239
1204,499,1008,855,462,462,462,734,385,968,239,383
499,1008,855,462,462,462,734,385,968,239,383,383
1008,855,462,462,462,734,385,968,239,383,383,500
855,462,462,462,734,385,968,239,383,383,500,500
462,462,462,734,385,968,239,383,383,500,500,500
462,462,734,385,968,239,383,383,500,500,500,423
462,734,385,968,239,383,383,500,500,500,423,1008
734,385,968,239,383,383,500,500,500,423,1008,3
385,968,239,383,383,500,500,500,423,1008,3,1008
968,239,383,383,500,500,500,423,1008,3,1008,120
239,383,383,500,500,500,423,1008,3,1008,120,276
383,383,500,500,500,423,1008,3,1008,120,276,462
383,500,500,500,423,1008,3,1008,120,276,462,1008
500,500,500,423,1008,3,1008,120,276,462,1008,1009
500,500,423,1008,3,1008,120,276,462,1008,1009,422
500,423,1008,3,1008,120,276,462,1008,1009,422,309
423,1008,3,1008,120,276,462,1008,1009,422,309,309
1008,3,1008,120,276,462,1008,1009,422,309,309,884
3,1008,120,276,462,1008,1009,422,309,309,884,1008
1008,120,276,462,1008,1009,422,309,309,884,1008,50
120,276,462,1008,1009,422,309,309,884,1008,50,1165
276,462,1008,1009,422,309,309,884,1008,50,1165,461
462,1008,1009,422,309,309,884,1008,50,1165,461,1008
1008,1009,422,309,309,884,1008,50,1165,461,1008,201
1009,422,309,309,884,1008,50,1165,461,1008,201,422
422,309,309,884,1008,50,1165,461,1008,201,422,422
309,309,884,1008,50,1165,461,1008,201,422,422,461
309,884,1008,50,1165,461,1008,201,422,422,461,1008
884,1008,50,1165,461,1008,201,422,422,461,1008,1008
1008,50,1165,461,1008,201,422,422,461,1008,1008,461
