0,1,2,3,4,5,6,7,8,9,10,11,12
1008,1008,1109,308,1465,1188,701,618,1009,126,462,158,962
1008,1109,308,1465,1188,701,618,1009,126,462,158,962,772
1109,308,1465,1188,701,618,1009,126,462,158,962,772,1008
308,1465,1188,701,618,1009,126,462,158,962,772,1008,816
1465,1188,701,618,1009,126,462,158,962,772,1008,816,925
1188,701,618,1009,126,462,158,962,772,1008,816,925,277
701,618,1009,126,462,158,962,772,1008,816,925,277,383
618,1009,126,462,158,962,772,1008,816,925,277,383,922
1009,126,462,158,962,772,1008,816,925,277,383,922,461
126,462,158,962,772,1008,816,925,277,383,922,461,1008
462,158,962,772,1008,816,925,277,383,922,461,1008,1009
158,962,772,1008,816,925,277,383,922,461,1008,1009,156
962,772,1008,816,925,277,383,922,461,1008,1009,156,13
772,1008,816,925,277,383,922,461,1008,1009,156,13,616
1008,816,925,277,383,922,461,1008,1009,156,13,616,615
816,925,277,383,922,461,1008,1009,156,13,616,615,237
925,277,383,922,461,1008,1009,156,13,616,615,237,544
277,383,922,461,1008,1009,156,13,616,615,237,544,1009
383,922,461,1008,1009,156,13,616,615,237,544,1009,1009
922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009
461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661
1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809
1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483
156,13,616,615,237,544,1009,1009,1009,661,809,1483,500
13,616,615,237,544,1009,1009,1009,661,809,1483,500,500
616,615,237,544,1009,1009,1009,661,809,1483,500,500,500
615,237,544,1009,1009,1009,661,809,1483,500,500,500,500
237,544,1009,1009,1009,661,809,1483,500,500,500,500,500
544,1009,1009,1009,661,809,1483,500,500,500,500,500,499
1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046
1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009
1009,661,809,1483,500,500,500,500,500,499,1046,1009,462
661,809,1483,500,500,500,500,500,499,1046,1009,462,462
809,1483,500,500,500,500,500,499,1046,1009,462,462,500
1483,500,500,500,500,500,499,1046,1009,462,462,500,1000
500,500,500,500,500,499,1046,1009,462,462,500,1000,702
500,500,500,500,499,1046,1009,462,462,500,1000,702,195
500,500,500,499,1046,1009,462,462,500,1000,702,195,499
500,500,499,1046,1009,462,462,500,1000,702,195,499,1009
500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009
499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462
1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461
1009,462,462,500,1000,702,195,499,1009,1009,462,461,500
462,462,500,1000,702,195,499,1009,1009,462,461,500,1067
462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009
500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809
1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188
