0,1,2,3,4,5,6,7,8,9,10,11,12,13
1008,1008,1109,308,1465,1188,701,618,1009,126,462,158,962,772
1008,1109,308,1465,1188,701,618,1009,126,462,158,962,772,1008
1109,308,1465,1188,701,618,1009,126,462,158,962,772,1008,816
308,1465,1188,701,618,1009,126,462,158,962,772,1008,816,925
1465,1188,701,618,1009,126,462,158,962,772,1008,816,925,277
1188,701,618,1009,126,462,158,962,772,1008,816,925,277,383
701,618,1009,126,462,158,962,772,1008,816,925,277,383,922
618,1009,126,462,158,962,772,1008,816,925,277,383,922,461
1009,126,462,158,962,772,1008,816,925,277,383,922,461,1008
126,462,158,962,772,1008,816,925,277,383,922,461,1008,1009
462,158,962,772,1008,816,925,277,383,922,461,1008,1009,156
158,962,772,1008,816,925,277,383,922,461,1008,1009,156,13
962,772,1008,816,925,277,383,922,461,1008,1009,156,13,616
772,1008,816,925,277,383,922,461,1008,1009,156,13,616,615
1008,816,925,277,383,922,461,1008,1009,156,13,616,615,237
816,925,277,383,922,461,1008,1009,156,13,616,615,237,544
925,277,383,922,461,1008,1009,156,13,616,615,237,544,1009
277,383,922,461,1008,1009,156,13,616,615,237,544,1009,1009
383,922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009
922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661
461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809
1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483
1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500
156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500
13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500
616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500
615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500
237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499
544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046
1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009
1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462
1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462
661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500
809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000
1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702
500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195
500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499
500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009
500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009
500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462
499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461
1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500
1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067
462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009
462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809
500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188
1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307
702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971
195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892
499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235
1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046
1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233
462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237
461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008
500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008
1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701
1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701
809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009
1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971
307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308
971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205
892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652
1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2
1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081
233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353
237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275
1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768
1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654
701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035
701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88
1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276
971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117
308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009
1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008
652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195
2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080
1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008
1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461
275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039
768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039
654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039
1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039
88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040
276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039
117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009
1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200
1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276
195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389
1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276
1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463
461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046
1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009
1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346
1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747
1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232
1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730
1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166
1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008
200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389
276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001
389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844
276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188
463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008
1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384
1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308
346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346
747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501
232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345
730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204
1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499
1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008
389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855
1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462
844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462
1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462
1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734
384,308,346,501,345,1204,499,1008,855,462,462,462,734,385
308,346,501,345,1204,499,1008,855,462,462,462,734,385,968
346,501,345,1204,499,1008,855,462,462,462,734,385,968,239
501,345,1204,499,1008,855,462,462,462,734,385,968,239,383
345,1204,499,1008,855,462,462,462,734,385,968,239,383,383
1204,499,1008,855,462,462,462,734,385,968,239,383,383,500
499,1008,855,462,462,462,734,385,968,239,383,383,500,500
1008,855,462,462,462,734,385,968,239,383,383,500,500,500
855,462,462,462,734,385,968,239,383,383,500,500,500,423
462,462,462,734,385,968,239,383,383,500,500,500,423,1008
462,462,734,385,968,239,383,383,500,500,500,423,1008,3
462,734,385,968,239,383,383,500,500,500,423,1008,3,1008
734,385,968,239,383,383,500,500,500,423,1008,3,1008,120
385,968,239,383,383,500,500,500,423,1008,3,1008,120,276
968,239,383,383,500,500,500,423,1008,3,1008,120,276,462
239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008
383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009
383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422
500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309
500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309
500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884
423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008
1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50
3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165
1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461
120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008
276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201
462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422
1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422
1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461
422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008
309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008
309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461
884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160
1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008
50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008
1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461
461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462
1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461
201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461
422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008
422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460
461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008
1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423
1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009
461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046
160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383
1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422
1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307
461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269
462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423
461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383
461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971
1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461
460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269
1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355
423,1009,1046,383,422,307,269,423,383,971,461,269,355,307
1009,1046,383,422,307,269,423,383,971,461,269,355,307,307
1046,383,422,307,269,423,383,971,461,269,355,307,307,422
383,422,307,269,423,383,971,461,269,355,307,307,422,345
422,307,269,423,383,971,461,269,355,307,307,422,345,383
307,269,423,383,971,461,269,355,307,307,422,345,383,422
269,423,383,971,461,269,355,307,307,422,345,383,422,1164
423,383,971,461,269,355,307,307,422,345,383,422,1164,969
383,971,461,269,355,307,307,422,345,383,422,1164,969,307
971,461,269,355,307,307,422,345,383,422,1164,969,307,385
461,269,355,307,307,422,345,383,422,1164,969,307,385,10
269,355,307,307,422,345,383,422,1164,969,307,385,10,383
355,307,307,422,345,383,422,1164,969,307,385,10,383,462
307,307,422,345,383,422,1164,969,307,385,10,383,462,460
307,422,345,383,422,1164,969,307,385,10,383,462,460,460
422,345,383,422,1164,969,307,385,10,383,462,460,460,269
345,383,422,1164,969,307,385,10,383,462,460,460,269,461
383,422,1164,969,307,385,10,383,462,460,460,269,461,383
422,1164,969,307,385,10,383,462,460,460,269,461,383,345
1164,969,307,385,10,383,462,460,460,269,461,383,345,422
969,307,385,10,383,462,460,460,269,461,383,345,422,195
307,385,10,383,462,460,460,269,461,383,345,422,195,383
385,10,383,462,460,460,269,461,383,345,422,195,383,384
10,383,462,460,460,269,461,383,345,422,195,383,384,384
383,462,460,460,269,461,383,345,422,195,383,384,384,384
462,460,460,269,461,383,345,422,195,383,384,384,384,346
460,460,269,461,383,345,422,195,383,384,384,384,346,384
460,269,461,383,345,422,195,383,384,384,384,346,384,384
269,461,383,345,422,195,383,384,384,384,346,384,384,384
461,383,345,422,195,383,384,384,384,346,384,384,384,384
383,345,422,195,383,384,384,384,346,384,384,384,384,383
345,422,195,383,384,384,384,346,384,384,384,384,383,461
422,195,383,384,384,384,346,384,384,384,384,383,461,384
195,383,384,384,384,346,384,384,384,384,383,461,384,460
383,384,384,384,346,384,384,384,384,383,461,384,460,461
384,384,384,346,384,384,384,384,383,461,384,460,461,384
384,384,346,384,384,384,384,383,461,384,460,461,384,423
384,346,384,384,384,384,383,461,384,460,461,384,423,461
346,384,384,384,384,383,461,384,460,461,384,423,461,461
384,384,384,384,383,461,384,460,461,384,423,461,461,461
384,384,384,383,461,384,460,461,384,423,461,461,461,460
384,384,383,461,384,460,461,384,423,461,461,461,460,460
384,383,461,384,460,461,384,423,461,461,461,460,460,1009
383,461,384,460,461,384,423,461,461,461,460,460,1009,461
461,384,460,461,384,423,461,461,461,460,460,1009,461,461
384,460,461,384,423,461,461,461,460,460,1009,461,461,461
460,461,384,423,461,461,461,460,460,1009,461,461,461,461
461,384,423,461,461,461,460,460,1009,461,461,461,461,461
384,423,461,461,461,460,460,1009,461,461,461,461,461,307
423,461,461,461,460,460,1009,461,461,461,461,461,307,422
461,461,461,460,460,1009,461,461,461,461,461,307,422,421
461,461,460,460,1009,461,461,461,461,461,307,422,421,383
461,460,460,1009,461,461,461,461,461,307,422,421,383,383
460,460,1009,461,461,461,461,461,307,422,421,383,383,383
460,1009,461,461,461,461,461,307,422,421,383,383,383,307
1009,461,461,461,461,461,307,422,421,383,383,383,307,307
461,461,461,461,461,307,422,421,383,383,383,307,307,384
461,461,461,461,307,422,421,383,383,383,307,307,384,384
461,461,461,307,422,421,383,383,383,307,307,384,384,384
461,461,307,422,421,383,383,383,307,307,384,384,384,385
461,307,422,421,383,383,383,307,307,384,384,384,385,276
307,422,421,383,383,383,307,307,384,384,384,385,276,461
422,421,383,383,383,307,307,384,384,384,385,276,461,423
421,383,383,383,307,307,384,384,384,385,276,461,423,308
383,383,383,307,307,384,384,384,385,276,461,423,308,461
383,383,307,307,384,384,384,385,276,461,423,308,461,1182
383,307,307,384,384,384,385,276,461,423,308,461,1182,383
307,307,384,384,384,385,276,461,423,308,461,1182,383,383
307,384,384,384,385,276,461,423,308,461,1182,383,383,384
384,384,384,385,276,461,423,308,461,1182,383,383,384,384
384,384,385,276,461,423,308,461,1182,383,383,384,384,422
384,385,276,461,423,308,461,1182,383,383,384,384,422,384
385,276,461,423,308,461,1182,383,383,384,384,422,384,384
276,461,423,308,461,1182,383,383,384,384,422,384,384,422
461,423,308,461,1182,383,383,384,384,422,384,384,422,384
423,308,461,1182,383,383,384,384,422,384,384,422,384,384
308,461,1182,383,383,384,384,422,384,384,422,384,384,384
461,1182,383,383,384,384,422,384,384,422,384,384,384,422
1182,383,383,384,384,422,384,384,422,384,384,384,422,384
383,383,384,384,422,384,384,422,384,384,384,422,384,422
383,384,384,422,384,384,422,384,384,384,422,384,422,385
384,384,422,384,384,422,384,384,384,422,384,422,385,423
384,422,384,384,422,384,384,384,422,384,422,385,423,423
422,384,384,422,384,384,384,422,384,422,385,423,423,275
384,384,422,384,384,384,422,384,422,385,423,423,275,238
384,422,384,384,384,422,384,422,385,423,423,275,238,275
422,384,384,384,422,384,422,385,423,423,275,238,275,1008
384,384,384,422,384,422,385,423,423,275,238,275,1008,1000
384,384,422,384,422,385,423,423,275,238,275,1008,1000,1001
384,422,384,422,385,423,423,275,238,275,1008,1000,1001,200
422,384,422,385,423,423,275,238,275,1008,1000,1001,200,47
384,422,385,423,423,275,238,275,1008,1000,1001,200,47,1008
422,385,423,423,275,238,275,1008,1000,1001,200,47,1008,1038
385,423,423,275,238,275,1008,1000,1001,200,47,1008,1038,1164
423,423,275,238,275,1008,1000,1001,200,47,1008,1038,1164,1080
423,275,238,275,1008,1000,1001,200,47,1008,1038,1164,1080,1008
275,238,275,1008,1000,1001,200,47,1008,1038,1164,1080,1008,690
238,275,1008,1000,1001,200,47,1008,1038,1164,1080,1008,690,1008
275,1008,1000,1001,200,47,1008,1038,1164,1080,1008,690,1008,1008
1008,1000,1001,200,47,1008,1038,1164,1080,1008,690,1008,1008,119
1000,1001,200,47,1008,1038,1164,1080,1008,690,1008,1008,119,891
1001,200,47,1008,1038,1164,1080,1008,690,1008,1008,119,891,1008
200,47,1008,1038,1164,1080,1008,690,1008,1008,119,891,1008,1035
47,1008,1038,1164,1080,1008,690,1008,1008,119,891,1008,1035,739
1008,1038,1164,1080,1008,690,1008,1008,119,891,1008,1035,739,1008
1038,1164,1080,1008,690,1008,1008,119,891,1008,1035,739,1008,1008
1164,1080,1008,690,1008,1008,119,891,1008,1035,739,1008,1008,1008
1080,1008,690,1008,1008,119,891,1008,1035,739,1008,1008,1008,270
1008,690,1008,1008,119,891,1008,1035,739,1008,1008,1008,270,308
690,1008,1008,119,891,1008,1035,739,1008,1008,1008,270,308,1028
1008,1008,119,891,1008,1035,739,1008,1008,1008,270,308,1028,971
1008,119,891,1008,1035,739,1008,1008,1008,270,308,1028,971,1009
119,891,1008,1035,739,1008,1008,1008,270,308,1028,971,1009,3
891,1008,1035,739,1008,1008,1008,270,308,1028,971,1009,3,1008
1008,1035,739,1008,1008,1008,270,308,1028,971,1009,3,1008,743
1035,739,1008,1008,1008,270,308,1028,971,1009,3,1008,743,1204
739,1008,1008,1008,270,308,1028,971,1009,3,1008,743,1204,1464
1008,1008,1008,270,308,1028,971,1009,3,1008,743,1204,1464,1008
1008,1008,270,308,1028,971,1009,3,1008,743,1204,1464,1008,1008
1008,270,308,1028,971,1009,3,1008,743,1204,1464,1008,1008,1008
270,308,1028,971,1009,3,1008,743,1204,1464,1008,1008,1008,276
308,1028,971,1009,3,1008,743,1204,1464,1008,1008,1008,276,1033
1028,971,1009,3,1008,743,1204,1464,1008,1008,1008,276,1033,1008
971,1009,3,1008,743,1204,1464,1008,1008,1008,276,1033,1008,79
1009,3,1008,743,1204,1464,1008,1008,1008,276,1033,1008,79,577
3,1008,743,1204,1464,1008,1008,1008,276,1033,1008,79,577,1008
1008,743,1204,1464,1008,1008,1008,276,1033,1008,79,577,1008,807
743,1204,1464,1008,1008,1008,276,1033,1008,79,577,1008,807,1001
1204,1464,1008,1008,1008,276,1033,1008,79,577,1008,807,1001,1222
1464,1008,1008,1008,276,1033,1008,79,577,1008,807,1001,1222,925
1008,1008,1008,276,1033,1008,79,577,1008,807,1001,1222,925,858
1008,1008,276,1033,1008,79,577,1008,807,1001,1222,925,858,916
1008,276,1033,1008,79,577,1008,807,1001,1222,925,858,916,660
276,1033,1008,79,577,1008,807,1001,1222,925,858,916,660,1008
1033,1008,79,577,1008,807,1001,1222,925,858,916,660,1008,1241
1008,79,577,1008,807,1001,1222,925,858,916,660,1008,1241,234
79,577,1008,807,1001,1222,925,858,916,660,1008,1241,234,464
577,1008,807,1001,1222,925,858,916,660,1008,1241,234,464,1008
1008,807,1001,1222,925,858,916,660,1008,1241,234,464,1008,1000
807,1001,1222,925,858,916,660,1008,1241,234,464,1008,1000,80
1001,1222,925,858,916,660,1008,1241,234,464,1008,1000,80,500
1222,925,858,916,660,1008,1241,234,464,1008,1000,80,500,1028
925,858,916,660,1008,1241,234,464,1008,1000,80,500,1028,159
858,916,660,1008,1241,234,464,1008,1000,80,500,1028,159,271
916,660,1008,1241,234,464,1008,1000,80,500,1028,159,271,884
660,1008,1241,234,464,1008,1000,80,500,1028,159,271,884,1008
1008,1241,234,464,1008,1000,80,500,1028,159,271,884,1008,1164
1241,234,464,1008,1000,80,500,1028,159,271,884,1008,1164,166
234,464,1008,1000,80,500,1028,159,271,884,1008,1164,166,164
464,1008,1000,80,500,1028,159,271,884,1008,1164,166,164,1008
1008,1000,80,500,1028,159,271,884,1008,1164,166,164,1008,970
1000,80,500,1028,159,271,884,1008,1164,166,164,1008,970,784
80,500,1028,159,271,884,1008,1164,166,164,1008,970,784,747
500,1028,159,271,884,1008,1164,166,164,1008,970,784,747,1164
1028,159,271,884,1008,1164,166,164,1008,970,784,747,1164,1164
159,271,884,1008,1164,166,164,1008,970,784,747,1164,1164,1164
271,884,1008,1164,166,164,1008,970,784,747,1164,1164,1164,1126
884,1008,1164,166,164,1008,970,784,747,1164,1164,1164,1126,235
1008,1164,166,164,1008,970,784,747,1164,1164,1164,1126,235,1113
1164,166,164,1008,970,784,747,1164,1164,1164,1126,235,1113,461
166,164,1008,970,784,747,1164,1164,1164,1126,235,1113,461,1164
164,1008,970,784,747,1164,1164,1164,1126,235,1113,461,1164,1164
1008,970,784,747,1164,1164,1164,1126,235,1113,461,1164,1164,1164
970,784,747,1164,1164,1164,1126,235,1113,461,1164,1164,1164,1164
784,747,1164,1164,1164,1126,235,1113,461,1164,1164,1164,1164,1126
747,1164,1164,1164,1126,235,1113,461,1164,1164,1164,1164,1126,1164
1164,1164,1164,1126,235,1113,461,1164,1164,1164,1164,1126,1164,1126
1164,1164,1126,235,1113,461,1164,1164,1164,1164,1126,1164,1126,1164
1164,1126,235,1113,461,1164,1164,1164,1164,1126,1164,1126,1164,1164
1126,235,1113,461,1164,1164,1164,1164,1126,1164,1126,1164,1164,1164
235,1113,461,1164,1164,1164,1164,1126,1164,1126,1164,1164,1164,1164
1113,461,1164,1164,1164,1164,1126,1164,1126,1164,1164,1164,1164,1164
461,1164,1164,1164,1164,1126,1164,1126,1164,1164,1164,1164,1164,1126
1164,1164,1164,1164,1126,1164,1126,1164,1164,1164,1164,1164,1126,1164
