0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1008,1008,1109,308,1465,1188,701,618,1009,126,462,158,962,772,1008
1008,1109,308,1465,1188,701,618,1009,126,462,158,962,772,1008,816
1109,308,1465,1188,701,618,1009,126,462,158,962,772,1008,816,925
308,1465,1188,701,618,1009,126,462,158,962,772,1008,816,925,277
1465,1188,701,618,1009,126,462,158,962,772,1008,816,925,277,383
1188,701,618,1009,126,462,158,962,772,1008,816,925,277,383,922
701,618,1009,126,462,158,962,772,1008,816,925,277,383,922,461
618,1009,126,462,158,962,772,1008,816,925,277,383,922,461,1008
1009,126,462,158,962,772,1008,816,925,277,383,922,461,1008,1009
126,462,158,962,772,1008,816,925,277,383,922,461,1008,1009,156
462,158,962,772,1008,816,925,277,383,922,461,1008,1009,156,13
158,962,772,1008,816,925,277,383,922,461,1008,1009,156,13,616
962,772,1008,816,925,277,383,922,461,1008,1009,156,13,616,615
772,1008,816,925,277,383,922,461,1008,1009,156,13,616,615,237
1008,816,925,277,383,922,461,1008,1009,156,13,616,615,237,544
816,925,277,383,922,461,1008,1009,156,13,616,615,237,544,1009
925,277,383,922,461,1008,1009,156,13,616,615,237,544,1009,1009
277,383,922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009
383,922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661
922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809
461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483
1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500
1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500
156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500
13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500
616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500
615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499
237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046
544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009
1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462
1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462
1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500
661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000
809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702
1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195
500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499
500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009
500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009
500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462
500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461
499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500
1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067
1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009
462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809
462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188
500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307
1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971
702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892
195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235
499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046
1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233
1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237
462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008
461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008
500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701
1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701
1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009
809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971
1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308
307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205
971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652
892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2
1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081
1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353
233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275
237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768
1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654
1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035
701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88
701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276
1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117
971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009
308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008
1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195
652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080
2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008
1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461
1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039
275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039
768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039
654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039
1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040
88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039
276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009
117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200
1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276
1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389
195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276
1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463
1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046
461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009
1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346
1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747
1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232
1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730
1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166
1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008
1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389
200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001
