0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1008,1008,1109,308,1465,1188,701,618,1009,126,462,158,962,772,1008,816
1008,1109,308,1465,1188,701,618,1009,126,462,158,962,772,1008,816,925
1109,308,1465,1188,701,618,1009,126,462,158,962,772,1008,816,925,277
308,1465,1188,701,618,1009,126,462,158,962,772,1008,816,925,277,383
1465,1188,701,618,1009,126,462,158,962,772,1008,816,925,277,383,922
1188,701,618,1009,126,462,158,962,772,1008,816,925,277,383,922,461
701,618,1009,126,462,158,962,772,1008,816,925,277,383,922,461,1008
618,1009,126,462,158,962,772,1008,816,925,277,383,922,461,1008,1009
1009,126,462,158,962,772,1008,816,925,277,383,922,461,1008,1009,156
126,462,158,962,772,1008,816,925,277,383,922,461,1008,1009,156,13
462,158,962,772,1008,816,925,277,383,922,461,1008,1009,156,13,616
158,962,772,1008,816,925,277,383,922,461,1008,1009,156,13,616,615
962,772,1008,816,925,277,383,922,461,1008,1009,156,13,616,615,237
772,1008,816,925,277,383,922,461,1008,1009,156,13,616,615,237,544
1008,816,925,277,383,922,461,1008,1009,156,13,616,615,237,544,1009
816,925,277,383,922,461,1008,1009,156,13,616,615,237,544,1009,1009
925,277,383,922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009
277,383,922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661
383,922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809
922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483
461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500
1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500
1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500
156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500
13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500
616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499
615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046
237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009
544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462
1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462
1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500
1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000
661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702
809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195
1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499
500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009
500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009
500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462
500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461
500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500
499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067
1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009
