0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1008,1008,1109,308,1465,1188,701,618,1009,126,462,158,962,772,1008,816,925
1008,1109,308,1465,1188,701,618,1009,126,462,158,962,772,1008,816,925,277
1109,308,1465,1188,701,618,1009,126,462,158,962,772,1008,816,925,277,383
308,1465,1188,701,618,1009,126,462,158,962,772,1008,816,925,277,383,922
1465,1188,701,618,1009,126,462,158,962,772,1008,816,925,277,383,922,461
1188,701,618,1009,126,462,158,962,772,1008,816,925,277,383,922,461,1008
701,618,1009,126,462,158,962,772,1008,816,925,277,383,922,461,1008,1009
618,1009,126,462,158,962,772,1008,816,925,277,383,922,461,1008,1009,156
1009,126,462,158,962,772,1008,816,925,277,383,922,461,1008,1009,156,13
126,462,158,962,772,1008,816,925,277,383,922,461,1008,1009,156,13,616
462,158,962,772,1008,816,925,277,383,922,461,1008,1009,156,13,616,615
158,962,772,1008,816,925,277,383,922,461,1008,1009,156,13,616,615,237
962,772,1008,816,925,277,383,922,461,1008,1009,156,13,616,615,237,544
772,1008,816,925,277,383,922,461,1008,1009,156,13,616,615,237,544,1009
1008,816,925,277,383,922,461,1008,1009,156,13,616,615,237,544,1009,1009
816,925,277,383,922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009
925,277,383,922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661
277,383,922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809
383,922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483
922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500
461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500
1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500
1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500
156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500
13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499
616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046
615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009
237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462
544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462
1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500
1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000
1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702
661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195
809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499
1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009
500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009
500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462
500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461
500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500
500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067
499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009
1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809
1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188
462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307
462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971
500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892
1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235
702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046
195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233
499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237
1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008
1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008
462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701
461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701
500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009
1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971
1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308
809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205
1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652
307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2
971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081
892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353
1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275
1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768
233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654
237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035
1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88
