0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1008,1008,1109,308,1465,1188,701,618,1009,126,462,158,962,772,1008,816,925,277
1008,1109,308,1465,1188,701,618,1009,126,462,158,962,772,1008,816,925,277,383
1109,308,1465,1188,701,618,1009,126,462,158,962,772,1008,816,925,277,383,922
308,1465,1188,701,618,1009,126,462,158,962,772,1008,816,925,277,383,922,461
1465,1188,701,618,1009,126,462,158,962,772,1008,816,925,277,383,922,461,1008
1188,701,618,1009,126,462,158,962,772,1008,816,925,277,383,922,461,1008,1009
701,618,1009,126,462,158,962,772,1008,816,925,277,383,922,461,1008,1009,156
618,1009,126,462,158,962,772,1008,816,925,277,383,922,461,1008,1009,156,13
1009,126,462,158,962,772,1008,816,925,277,383,922,461,1008,1009,156,13,616
126,462,158,962,772,1008,816,925,277,383,922,461,1008,1009,156,13,616,615
462,158,962,772,1008,816,925,277,383,922,461,1008,1009,156,13,616,615,237
158,962,772,1008,816,925,277,383,922,461,1008,1009,156,13,616,615,237,544
962,772,1008,816,925,277,383,922,461,1008,1009,156,13,616,615,237,544,1009
772,1008,816,925,277,383,922,461,1008,1009,156,13,616,615,237,544,1009,1009
1008,816,925,277,383,922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009
816,925,277,383,922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661
925,277,383,922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809
277,383,922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483
383,922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500
922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500
461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500
1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500
1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500
156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499
13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046
616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009
615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462
237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462
544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500
1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000
1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702
