0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1008,1008,1109,308,1465,1188,701,618,1009,126,462,158,962,772,1008,816,925,277,383
1008,1109,308,1465,1188,701,618,1009,126,462,158,962,772,1008,816,925,277,383,922
1109,308,1465,1188,701,618,1009,126,462,158,962,772,1008,816,925,277,383,922,461
308,1465,1188,701,618,1009,126,462,158,962,772,1008,816,925,277,383,922,461,1008
1465,1188,701,618,1009,126,462,158,962,772,1008,816,925,277,383,922,461,1008,1009
1188,701,618,1009,126,462,158,962,772,1008,816,925,277,383,922,461,1008,1009,156
701,618,1009,126,462,158,962,772,1008,816,925,277,383,922,461,1008,1009,156,13
618,1009,126,462,158,962,772,1008,816,925,277,383,922,461,1008,1009,156,13,616
1009,126,462,158,962,772,1008,816,925,277,383,922,461,1008,1009,156,13,616,615
126,462,158,962,772,1008,816,925,277,383,922,461,1008,1009,156,13,616,615,237
462,158,962,772,1008,816,925,277,383,922,461,1008,1009,156,13,616,615,237,544
158,962,772,1008,816,925,277,383,922,461,1008,1009,156,13,616,615,237,544,1009
962,772,1008,816,925,277,383,922,461,1008,1009,156,13,616,615,237,544,1009,1009
772,1008,816,925,277,383,922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009
1008,816,925,277,383,922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661
816,925,277,383,922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809
925,277,383,922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483
277,383,922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500
383,922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500
922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500
461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500
1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500
1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499
156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046
13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009
616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462
615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462
237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500
544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000
1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702
1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195
1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499
661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009
809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009
1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462
500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461
500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500
500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067
500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009
500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809
499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188
