0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1008,1008,1109,308,1465,1188,701,618,1009,126,462,158,962,772,1008,816,925,277,383,922
1008,1109,308,1465,1188,701,618,1009,126,462,158,962,772,1008,816,925,277,383,922,461
1109,308,1465,1188,701,618,1009,126,462,158,962,772,1008,816,925,277,383,922,461,1008
308,1465,1188,701,618,1009,126,462,158,962,772,1008,816,925,277,383,922,461,1008,1009
1465,1188,701,618,1009,126,462,158,962,772,1008,816,925,277,383,922,461,1008,1009,156
1188,701,618,1009,126,462,158,962,772,1008,816,925,277,383,922,461,1008,1009,156,13
701,618,1009,126,462,158,962,772,1008,816,925,277,383,922,461,1008,1009,156,13,616
618,1009,126,462,158,962,772,1008,816,925,277,383,922,461,1008,1009,156,13,616,615
1009,126,462,158,962,772,1008,816,925,277,383,922,461,1008,1009,156,13,616,615,237
126,462,158,962,772,1008,816,925,277,383,922,461,1008,1009,156,13,616,615,237,544
462,158,962,772,1008,816,925,277,383,922,461,1008,1009,156,13,616,615,237,544,1009
158,962,772,1008,816,925,277,383,922,461,1008,1009,156,13,616,615,237,544,1009,1009
962,772,1008,816,925,277,383,922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009
772,1008,816,925,277,383,922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661
1008,816,925,277,383,922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809
816,925,277,383,922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483
925,277,383,922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500
277,383,922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500
383,922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500
922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500
461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500
1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499
1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046
156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009
