0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
1008,1008,1109,308,1465,1188,701,618,1009,126,462,158,962,772,1008,816,925,277,383,922,461,1008,1009,156,13,616,615,237,544
1008,1109,308,1465,1188,701,618,1009,126,462,158,962,772,1008,816,925,277,383,922,461,1008,1009,156,13,616,615,237,544,1009
1109,308,1465,1188,701,618,1009,126,462,158,962,772,1008,816,925,277,383,922,461,1008,1009,156,13,616,615,237,544,1009,1009
308,1465,1188,701,618,1009,126,462,158,962,772,1008,816,925,277,383,922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009
1465,1188,701,618,1009,126,462,158,962,772,1008,816,925,277,383,922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661
1188,701,618,1009,126,462,158,962,772,1008,816,925,277,383,922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809
701,618,1009,126,462,158,962,772,1008,816,925,277,383,922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483
618,1009,126,462,158,962,772,1008,816,925,277,383,922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500
1009,126,462,158,962,772,1008,816,925,277,383,922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500
126,462,158,962,772,1008,816,925,277,383,922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500
462,158,962,772,1008,816,925,277,383,922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500
158,962,772,1008,816,925,277,383,922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500
962,772,1008,816,925,277,383,922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499
772,1008,816,925,277,383,922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046
1008,816,925,277,383,922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009
816,925,277,383,922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462
925,277,383,922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462
277,383,922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500
383,922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000
922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702
461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195
1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499
1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009
156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009
13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462
616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461
615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500
237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067
544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009
1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809
1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188
1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307
661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971
