0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
1008,1008,1109,308,1465,1188,701,618,1009,126,462,158,962,772,1008,816,925,277,383,922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500
1008,1109,308,1465,1188,701,618,1009,126,462,158,962,772,1008,816,925,277,383,922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500
1109,308,1465,1188,701,618,1009,126,462,158,962,772,1008,816,925,277,383,922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500
308,1465,1188,701,618,1009,126,462,158,962,772,1008,816,925,277,383,922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500
1465,1188,701,618,1009,126,462,158,962,772,1008,816,925,277,383,922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499
1188,701,618,1009,126,462,158,962,772,1008,816,925,277,383,922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046
701,618,1009,126,462,158,962,772,1008,816,925,277,383,922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009
618,1009,126,462,158,962,772,1008,816,925,277,383,922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462
1009,126,462,158,962,772,1008,816,925,277,383,922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462
126,462,158,962,772,1008,816,925,277,383,922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500
462,158,962,772,1008,816,925,277,383,922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000
158,962,772,1008,816,925,277,383,922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702
