nodes,x,y,time
845,9,22,1977-01-01T00:16:19.100Z
1035,9,27,1977-01-01T08:10:36.100Z
1035,9,27,1977-01-01T16:00:53.400Z
276,10,7,1977-01-13T03:27:22.200Z
1008,20,26,1977-01-19T18:56:20.300Z
730,8,19,1977-01-23T17:48:01.500Z
1049,23,27,1977-01-26T05:43:21.900Z
1008,20,26,1977-01-30T23:14:59.100Z
584,14,15,1977-02-12T11:44:25.400Z
856,20,22,1977-02-14T04:45:16.400Z
1242,26,32,1977-02-21T17:48:02.000Z
922,10,24,1977-03-01T20:37:25.100Z
739,17,19,1977-03-16T16:29:00.700Z
350,8,9,1977-03-17T16:58:41.600Z
276,10,7,1977-03-19T06:28:18.700Z
1008,20,26,1977-03-23T02:11:14.600Z
692,8,18,1977-03-24T07:27:17.200Z
973,23,25,1977-04-07T01:24:27.500Z
923,11,24,1977-04-08T17:30:53.900Z
659,13,17,1977-04-09T13:41:13.400Z
1008,20,26,1977-04-13T21:44:53.900Z
1008,20,26,1977-04-18T10:20:52.300Z
307,3,8,1977-05-08T16:45:16.000Z
307,3,8,1977-05-08T18:00:00.000Z
307,3,8,1977-05-09T04:48:46.200Z
307,3,8,1977-05-10T23:56:32.400Z
307,3,8,1977-05-14T09:16:02.000Z
922,10,24,1977-05-15T21:52:43.900Z
1009,21,26,1977-05-16T07:09:41.100Z
1035,9,27,1977-05-17T14:15:21.900Z
269,3,7,1977-05-21T12:02:22.100Z
269,3,7,1977-05-21T14:14:41.300Z
269,3,7,1977-05-21T20:26:06.000Z
269,3,7,1977-05-22T10:24:23.900Z
230,2,6,1977-05-26T06:19:40.800Z
195,5,5,1977-05-28T07:27:10.600Z
1008,20,26,1977-06-21T05:03:06.000Z
847,11,22,1977-06-27T08:30:36.200Z
277,11,7,1977-06-27T18:57:20.400Z
1009,21,26,1977-07-01T20:42:10.300Z
732,10,19,1977-07-06T23:58:02.700Z
235,7,6,1977-07-16T16:34:17.600Z
1010,22,26,1977-07-19T13:04:11.000Z
1360,30,35,1977-07-24T05:44:43.900Z
971,21,25,1977-07-29T23:15:21.500Z
1008,20,26,1977-08-01T00:47:32.100Z
1113,11,29,1977-08-03T02:25:04.400Z
998,10,26,1977-08-03T17:46:53.900Z
998,10,26,1977-08-08T07:00:06.300Z
41,3,1,1977-08-15T16:49:39.300Z
1084,20,28,1977-08-15T22:06:14.000Z
1039,13,27,1977-08-31T00:42:05.400Z
1039,13,27,1977-08-31T01:18:35.100Z
1039,13,27,1977-08-31T01:34:01.400Z
1040,14,27,1977-08-31T03:56:24.100Z
1003,15,26,1977-08-31T11:00:55.900Z
1002,14,26,1977-08-31T11:58:03.800Z
1039,13,27,1977-09-01T17:37:06.800Z
41,3,1,1977-09-20T17:17:50.700Z
1009,21,26,1977-09-29T06:09:22.800Z
1008,20,26,1977-10-01T21:07:08.800Z
656,10,17,1977-10-03T12:28:23.100Z
887,13,23,1977-10-13T04:09:32.000Z
1009,21,26,1977-10-22T01:23:27.000Z
965,15,25,1977-10-26T02:49:50.900Z
1035,9,27,1977-10-29T21:13:28.400Z
1035,9,27,1977-10-30T02:18:01.300Z
276,10,7,1977-11-03T05:05:09.600Z
276,10,7,1977-11-12T16:57:58.000Z
803,5,21,1977-11-16T00:44:54.700Z
1009,21,26,1977-12-06T10:23:01.300Z
1244,28,32,1977-12-11T16:22:08.600Z
1236,20,32,1977-12-15T22:52:15.500Z
1367,37,35,1977-12-17T23:25:11.900Z
1008,20,26,1977-12-19T08:28:53.200Z
1008,20,26,1978-01-05T03:22:40.500Z
922,10,24,1978-01-08T00:56:42.400Z
704,20,18,1978-01-10T20:08:33.800Z
1009,21,26,1978-01-16T08:31:36.200Z
972,22,25,1978-01-21T08:19:30.700Z
971,21,25,1978-01-21T13:15:20.100Z
276,10,7,1978-01-24T20:20:28.300Z
768,8,20,1978-01-29T18:10:06.300Z
884,10,23,1978-02-16T03:47:24.600Z
1009,21,26,1978-02-20T07:19:48.700Z
1156,16,30,1978-02-22T08:19:47.800Z
1156,16,30,1978-02-22T09:15:54.600Z
1008,20,26,1978-03-07T11:45:35.800Z
10,10,0,1978-03-14T17:20:47.300Z
1008,20,26,1978-03-19T06:27:32.700Z
971,21,25,1978-03-25T15:51:05.900Z
1425,19,37,1978-04-01T03:37:03.200Z
691,7,18,1978-04-03T03:06:45.400Z
125,11,3,1978-04-03T05:31:32.700Z
1263,9,33,1978-04-04T21:11:41.800Z
971,21,25,1978-04-07T06:35:22.500Z
275,9,7,1978-04-07T09:52:06.000Z
1391,23,36,1978-04-08T15:12:22.700Z
1009,21,26,1978-04-18T19:33:03.400Z
230,2,6,1978-04-23T01:58:49.100Z
1427,21,37,1978-04-28T04:28:34.200Z
653,7,17,1978-04-30T12:53:26.700Z
125,11,3,1978-05-08T07:32:29.000Z
919,7,24,1978-05-10T18:37:57.900Z
1009,21,26,1978-05-27T16:16:42.200Z
1087,23,28,1978-06-03T10:50:33.600Z
351,9,9,1978-06-07T08:00:34.200Z
3,3,0,1978-06-09T09:22:12.200Z
653,7,17,1978-06-10T04:29:46.100Z
1008,20,26,1978-06-18T02:20:24.800Z
154,2,4,1978-06-18T11:07:45.100Z
1186,8,31,1978-07-01T08:53:57.600Z
1008,20,26,1978-07-02T02:49:17.900Z
1008,20,26,1978-07-06T12:02:21.500Z
1188,10,31,1978-07-17T10:26:29.000Z
579,9,15,1978-07-18T14:26:03.000Z
314,10,8,1978-07-22T07:40:03.200Z
1008,20,26,1978-07-26T02:19:01.300Z
1037,11,27,1978-08-02T23:59:21.500Z
1010,22,26,1978-08-08T02:58:36.600Z
236,8,6,1978-08-10T04:10:55.800Z
619,11,16,1978-08-12T08:25:26.600Z
1009,21,26,1978-08-15T07:04:09.100Z
1008,20,26,1978-09-01T08:32:12.500Z
237,9,6,1978-09-11T04:21:56.200Z
269,3,7,1978-09-26T13:39:04.100Z
1038,12,27,1978-10-05T23:22:20.000Z
1008,20,26,1978-10-24T03:41:16.000Z
934,22,24,1978-10-24T21:04:38.300Z
1008,20,26,1978-10-29T14:41:17.400Z
1009,21,26,1978-11-01T16:23:45.900Z
279,13,7,1978-11-04T20:16:10.500Z
276,10,7,1978-11-09T00:36:56.300Z
237,9,6,1978-11-11T21:47:55.700Z
1427,21,37,1978-11-14T04:13:31.500Z
40,2,1,1978-11-21T00:07:06.500Z
3,3,0,1978-11-24T15:16:42.200Z
971,21,25,1978-12-02T07:00:50.700Z
276,10,7,1978-12-18T13:37:31.200Z
854,18,22,1978-12-20T05:55:17.600Z
195,5,5,1978-12-24T23:13:42.600Z
241,13,6,1978-12-27T09:33:20.600Z
1035,9,27,1978-12-29T00:43:29.300Z
960,10,25,1978-12-29T02:03:22.100Z
1075,11,28,1978-12-31T20:38:38.500Z
1008,20,26,1979-01-06T09:49:08.600Z
